Dr. STONE,LIFE,https://anilist.co/anime/105333/Dr-STONE/,,https://animethemes.moe/video/DrStone-ED1.webm,
Dr. STONE,Yume no You na,https://anilist.co/anime/105333/Dr-STONE/,2,https://animethemes.moe/video/DrStone-ED2.webm,
Dumbbell Nan Kilo Moteru?,Macho a Name?,https://anilist.co/anime/107226/Dumbbell-Nan-Kilo-Moteru/,,https://animethemes.moe/video/DumbbellNanKiloMoteru-ED1.webm,
Dumbbell Nan Kilo Moteru?,Snow Globe,https://anilist.co/anime/107226/Dumbbell-Nan-Kilo-Moteru/,2,https://animethemes.moe/video/DumbbellNanKiloMoteru-ED2.webm,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Sasayaka na Shukusai V1,https://anilist.co/anime/101167/Dungeon-ni-Deai-wo-Motomeru-no-wa-Machigatteiru-Darou-ka-II/,,https://animethemes.moe/video/DanMachiS2-ED1.webm,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Sasayaka na Shukusai V2,https://anilist.co/anime/101167/Dungeon-ni-Deai-wo-Motomeru-no-wa-Machigatteiru-Darou-ka-II/,1.2,https://animethemes.moe/video/DanMachiS2-ED1v2.webm,
Enen no Shouboutai,veil,https://anilist.co/anime/105310/Enen-no-Shouboutai/,,https://animethemes.moe/video/EnenNoShouboutai-ED1.webm,
Enen no Shouboutai,Nounai,https://anilist.co/anime/105310/Enen-no-Shouboutai/,2,https://animethemes.moe/video/EnenNoShouboutai-ED2.webm,
Ensemble Stars,1st SING-ALONG☆,https://anilist.co/anime/21512/Ensemble-Stars/,,https://animethemes.moe/video/EnsembleStars-ED1.webm,
Ensemble Stars,IMMORAL WORLD,https://anilist.co/anime/21512/Ensemble-Stars/,2,https://animethemes.moe/video/EnsembleStars-ED2.webm,
Ensemble Stars,Made in Tokimeki♪,https://anilist.co/anime/21512/Ensemble-Stars/,3,https://animethemes.moe/video/EnsembleStars-ED3.webm,
Ensemble Stars,"Gekka Musou, Beni no Mai",https://anilist.co/anime/21512/Ensemble-Stars/,4,https://animethemes.moe/video/EnsembleStars-ED4.webm,
Ensemble Stars,Mischievous Party Time!!,https://anilist.co/anime/21512/Ensemble-Stars/,5,https://animethemes.moe/video/EnsembleStars-ED5.webm,
Ensemble Stars,Hajimari no Fantasia,https://anilist.co/anime/21512/Ensemble-Stars/,6,https://animethemes.moe/video/EnsembleStars-ED6.webm,
Ensemble Stars,Meteor Scramble☆Ryuusei-tai!,https://anilist.co/anime/21512/Ensemble-Stars/,7,https://animethemes.moe/video/EnsembleStars-ED7.webm,
Ensemble Stars,Magic for your 'Switch,https://anilist.co/anime/21512/Ensemble-Stars/,8,https://animethemes.moe/video/EnsembleStars-ED8.webm,
Ensemble Stars,Yukai Tsukai That's Alright!,https://anilist.co/anime/21512/Ensemble-Stars/,9,https://animethemes.moe/video/EnsembleStars-ED9.webm,
Given,Marutsuke -Piano ver.-,https://anilist.co/anime/108430/Given/,,https://animethemes.moe/video/Given-ED1.webm,
Given,Marutsuke,https://anilist.co/anime/108430/Given/,1.2,https://animethemes.moe/video/Given-ED2.webm,
Gochuumon wa Usagi desu ka??: Sing for You,Gin no Spoon ~Blend of Memory~,https://anilist.co/anime/104199/Gochuumon-wa-Usagi-desu-ka-Sing-For-You/,,https://animethemes.moe/video/GochiUsaSingForYou-ED1.webm,
Granbelm,Negai,https://anilist.co/anime/108147/Granbelm/,,https://animethemes.moe/video/Granbelm-ED1.webm,
Granbelm,Scenery,https://anilist.co/anime/108147/Granbelm/,2,https://animethemes.moe/video/Granbelm-ED2.webm,
Isekai Cheat Magician,Chiisana Omoi,https://anilist.co/anime/101547/Isekai-Cheat-Magician/,,https://animethemes.moe/video/IsekaiCheatMagician-ED1.webm,
"Joshikousei no Mudazukai
",Seishun no Reverb,https://anilist.co/anime/105081/Joshikousei-no-Mudazukai/,,https://animethemes.moe/video/JoshikouseiNoMudazukai-ED1.webm,
Joshikousei no Mudazukai,Saitama Joshi Koutou Gakkou Kouka,https://anilist.co/anime/105081/Joshikousei-no-Mudazukai/,2,https://animethemes.moe/video/JoshikouseiNoMudazukai-ED2.webm,
Kanata no Astra,Glow at the Velocity of Light,https://anilist.co/anime/107663/Kanata-no-Astra/,,https://animethemes.moe/video/KanataNoAstra-ED1.webm,
Kanata no Astra,Star of Hope,https://anilist.co/anime/107663/Kanata-no-Astra/,2,https://animethemes.moe/video/KanataNoAstra-ED2.webm,
Karakai Jouzu no Takagi-san 2,Kanade,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,,https://animethemes.moe/video/Takagi3S2-ED1.webm,
Karakai Jouzu no Takagi-san 2,Konayuki,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,2,https://animethemes.moe/video/Takagi3S2-ED2.webm,
Karakai Jouzu no Takagi-san 2,Kiseki,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,3,https://animethemes.moe/video/Takagi3S2-ED3.webm,
Karakai Jouzu no Takagi-san 2,Arigatou,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,4,https://animethemes.moe/video/Takagi3S2-ED4.webm,
Karakai Jouzu no Takagi-san 2,STARS,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,5,https://animethemes.moe/video/Takagi3S2-ED5.webm,
Karakai Jouzu no Takagi-san 2,Anata ni,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,6,https://animethemes.moe/video/Takagi3S2-ED6.webm,
Karakai Jouzu no Takagi-san 2,Iwanai kedo ne.,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,7,https://animethemes.moe/video/Takagi3S2-ED7.webm,
Karakai Jouzu no Takagi-san 2,Yasashii Kimochii,https://anilist.co/anime/107068/Karakai-Jouzu-no-Takagisan-2/,8,https://animethemes.moe/video/Takagi3S2-ED8.webm,
Katsute Kami Datta Kemono-tachi e,HHOOWWLL,https://anilist.co/anime/107672/Katsute-Kami-Datta-Kemonotachi-e/,,https://animethemes.moe/video/Katsukami-ED1.webm,
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka,Mubyuu no Hana,https://anilist.co/anime/107961/Kawaikereba-Hentai-demo-Suki-ni-Natte-Kuremasu-ka/,,https://animethemes.moe/video/Hensuki-ED1.webm,
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka,Stella,https://anilist.co/anime/107961/Kawaikereba-Hentai-demo-Suki-ni-Natte-Kuremasu-ka/,2,https://animethemes.moe/video/Hensuki-ED2.webm,
Kengan Ashura,Born This Way,https://anilist.co/anime/100891/Kengan-Ashura/,,https://animethemes.moe/video/KenganAshura-ED1.webm,
Knights of the Zodiac: Saint Seiya,SOMEBODY NEW,https://anilist.co/anime/102427/Knights-of-the-Zodiac-Seitoushi-Seiya-Kari/,,https://animethemes.moe/video/SaintSeiya2019-ED1.webm,
Kochouki: Wakaki Nobunaga,Kiba to Tsubasa,https://anilist.co/anime/106894/Kochoki-Wakaki-Nobunaga/,,https://animethemes.moe/video/Kochouki-ED1.webm,
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,Hibari,https://anilist.co/anime/106918/Lord-ElMelloi-IIsei-no-Jikenbo-Rail-Zeppelin-Grace-note/,,https://animethemes.moe/video/ElMelloi-ED1.webm,
Machikado Mazoku,Yoimachi Cantare,https://anilist.co/anime/107490/Machikado-Mazoku/,,https://animethemes.moe/video/MachikadoMazoku-ED1.webm,
"Maou-sama, Retry!",NEW,https://anilist.co/anime/104252/Maousama-Retry/,,https://animethemes.moe/video/MaouSamaRetry-ED1.webm,
Naka no Hito Genome [Jikkyouchuu],Boku wo Mitsukete V1,https://anilist.co/anime/102926/Naka-no-Hito-Genome-Jikkyouchuu/,,https://animethemes.moe/video/NakanohitoGenome-ED1.webm,
Naka no Hito Genome [Jikkyouchuu],Boku wo Mitsukete V2,https://anilist.co/anime/102926/Naka-no-Hito-Genome-Jikkyouchuu/,1.2,https://animethemes.moe/video/NakanohitoGenome-ED1v2.webm,
Naka no Hito Genome [Jikkyouchuu],Where you are,https://anilist.co/anime/102926/Naka-no-Hito-Genome-Jikkyouchuu/,2,https://animethemes.moe/video/NakanohitoGenome-ED2.webm,
Re:Stage! Dream Days♪,Akogare Future Sign,https://anilist.co/anime/103048/ReStage-Dream-Days/,,https://animethemes.moe/video/ReStageDreamDays-ED1.webm,
Re:Stage! Dream Days♪,Sensei Sensation,https://anilist.co/anime/103048/ReStage-Dream-Days/,2,https://animethemes.moe/video/ReStageDreamDays-ED2.webm,
Re:Stage! Dream Days♪,367Days,https://anilist.co/anime/103048/ReStage-Dream-Days/,3,https://animethemes.moe/video/ReStageDreamDays-ED3.webm,
SD Gundam World: Sangoku Soketsuden,Tri-Alive,https://anilist.co/anime/108041/SD-Gundam-World-Sangoku-Soketsuden/,,https://animethemes.moe/video/SDGundamWorld-ED1.webm,
Senki Zesshou Symphogear XV,FINAL COMMANDER,https://anilist.co/anime/21673/Senki-Zesshou-Symphogear-XV/,,https://animethemes.moe/video/SymphogearS5-ED1.webm,
Senki Zesshou Symphogear XV,Lasting Song,https://anilist.co/anime/21673/Senki-Zesshou-Symphogear-XV/,2,https://animethemes.moe/video/SymphogearS5-ED2.webm,
Senki Zesshou Symphogear XV,Sforzando no Zankyou,https://anilist.co/anime/21673/Senki-Zesshou-Symphogear-XV/,3,https://animethemes.moe/video/SymphogearS5-ED3.webm,
Senki Zesshou Symphogear XV,Ashita no Flugel,https://anilist.co/anime/21673/Senki-Zesshou-Symphogear-XV/,4,https://animethemes.moe/video/SymphogearS5-ED4.webm,
Shoujo☆Conto All Starlight,Butai Shoujo Taisou,https://anilist.co/anime/109153/Shoujo-Conte-All-Starlight/,,https://animethemes.moe/video/ShoujoContoAllStarlight-ED1.webm,
Sounan Desu ka,Ikiru V1,https://anilist.co/anime/108111/Sounan-desu-ka/,,https://animethemes.moe/video/SounanDesuKa-ED1.webm,
Sounan Desu ka,Ikiru V2,https://anilist.co/anime/108111/Sounan-desu-ka/,1.2,https://animethemes.moe/video/SounanDesuKa-ED1v2.webm,
Starmyu 3rd Season,On Stage,https://anilist.co/anime/100280/Star-Mu-3/,,https://animethemes.moe/video/StarmyuS3-ED1.webm,
Starmyu 3rd Season,"Warera, Ayanagi Gakuen Kao Kai ~NEXT STAGE Ver.~",https://anilist.co/anime/100280/Star-Mu-3/,2,https://animethemes.moe/video/StarmyuS3-ED2.webm,
Tejina-senpai,Dame wa Dame,https://anilist.co/anime/105074/Tejina-Senpai/,,https://animethemes.moe/video/TejinaSenpai-ED1.webm,
Toaru Kagaku no Accelerator,Parole,https://anilist.co/anime/104463/Toaru-Kagaku-no-Accelerator/,,https://animethemes.moe/video/ToaruKagakuNoAccelerator-ED1.webm,
Try Knights,Moyou,https://anilist.co/anime/108444/Try-Knights/,,https://animethemes.moe/video/TryKnights-ED1.webm,
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki Mama,https://anilist.co/anime/104723/Tsuujou-Kougeki-ga-Zentai-Kougeki-de-Nikai-Kougeki-no-Okaasan-wa-Suki-desu-ka/,,https://animethemes.moe/video/OkaaSanOnline-ED1.webm,
"Uchi no Ko no Tame Naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.","This is Yuusha, but Zannen!?",https://anilist.co/anime/107956/Uchi-no-Ko-no-Tame-Naraba-Ore-wa-Moshikashitara-Maou-mo-Taoseru-Kamo-Shirenai/,,https://animethemes.moe/video/Uchinoko-ED1.webm,
"Uchi no Ko no Tame Naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",Hana no Eda,https://anilist.co/anime/107956/Uchi-no-Ko-no-Tame-Naraba-Ore-wa-Moshikashitara-Maou-mo-Taoseru-Kamo-Shirenai/,2,https://animethemes.moe/video/Uchinoko-ED2.webm,
Vinland Saga,Torches,https://anilist.co/anime/101348/Vinland-Saga/,,https://animethemes.moe/video/VinlandSaga-ED1.webm,
Vinland Saga,Drown,https://anilist.co/anime/101348/Vinland-Saga/,2,https://animethemes.moe/video/VinlandSaga-ED2.webm,
"Yami Shibai 7
",Kekkai,https://anilist.co/anime/109603/Yami-Shibai-7/,,https://animethemes.moe/video/YamiShibaiS7-ED1.webm,
"7 Seeds
",Wish,https://anilist.co/anime/105807/7SEEDS,,https://animethemes.moe/video/7Seeds-ED1.webm,
Aikatsu Friends! Kagayaki no Jewel,Be star,https://anilist.co/anime/107447/Aikatsu-Friends-Kagayaki-no-Jewel,,https://animethemes.moe/video/AikatsuFriendsKagayakiNoJewel-ED1.webm,
Bakugan Battle Planet,Be my story,https://anilist.co/anime/108852/Bakugan-Battle-Planet,,https://animethemes.moe/video/BakuganBattlePlanet-ED1.webm,
Bakumatsu: Crisis,Aoki Honoo,https://anilist.co/anime/106568/BAKUMATSU-Crisis,,https://animethemes.moe/video/BakumatsuS2-ED1.webm,
Bokutachi wa Benkyou ga Dekinai,Never Give It Up!!,https://anilist.co/anime/103900/Bokutachi-wa-Benkyou-ga-Dekinai,,https://animethemes.moe/video/BokuBen-ED1.webm,
Bungou Stray Dogs 3rd Season,Lily,https://anilist.co/anime/103223/Bungou-Stray-Dogs-3,,https://animethemes.moe/video/BungouStrayDogsS3-ED1.webm,
Cardfight!! Vanguard: Zoku Koukousei-hen,Takin' my Heart,https://anilist.co/anime/109260/Cardfight-Vanguard-Zoku-Koukouseihen,,https://animethemes.moe/video/CardfightVanguardZokuKoukouseiHen-ED1.webm,
