name,songname,anilist,type,link
Dungeon Meshi,Kirakira no Hai,153518,ED2,https://v.animethemes.moe/DungeonMeshi-ED2-NCBD1080.webm
Dungeon Meshi,Kirakira no Hai,153518,ED2,https://v.animethemes.moe/DungeonMeshi-ED2v2.webm
Dungeon Meshi,Kirakira no Hai,153518,ED2,https://v.animethemes.moe/DungeonMeshi-ED2v2-NCBD1080.webm
Gekkan Mousou Kagaku,Overscientific!,169418,OP,https://v.animethemes.moe/GekkanMousouKagaku-OP1.webm
Gekkan Mousou Kagaku,SCIENCE,169418,ED,https://v.animethemes.moe/GekkanMousouKagaku-ED1.webm
Urusei Yatsura (2022) 2nd Season,"Lock On feat. Hashimero, Megurimeguru",155645,OP1,https://v.animethemes.moe/UruseiYatsura2022S2-OP1.webm
Urusei Yatsura (2022) 2nd Season,"Kaminari Sakura feat. 9Lana, SAKURAmoti",155645,ED1,https://v.animethemes.moe/UruseiYatsura2022S2-ED1.webm
Urusei Yatsura (2022) 2nd Season,"By My Darling feat. Maria Miki, Nito.",155645,OP2,https://v.animethemes.moe/UruseiYatsura2022S2-OP2.webm
Urusei Yatsura (2022) 2nd Season,"Haru Magai feat. Ayuni D, Nito.",155645,ED2,https://v.animethemes.moe/UruseiYatsura2022S2-ED2.webm
Majo to Yajuu,Soumonka,153818,OP,https://v.animethemes.moe/MajoToYajuu-OP1.webm
Majo to Yajuu,Hikari no Trill,153818,ED,https://v.animethemes.moe/MajoToYajuu-ED1.webm
Sasaki to Pii-chan,FLY,152682,OP,https://v.animethemes.moe/SasakiToPiiChan-OP1.webm
Sasaki to Pii-chan,Aimai Girl,152682,ED,https://v.animethemes.moe/SasakiToPiiChan-ED1.webm
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,because,156891,ED,https://v.animethemes.moe/SaijakuTamer-ED1.webm
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,Hate no Nai Tabi,156891,OP,https://v.animethemes.moe/SaijakuTamer-OP1.webm
Chiyu Mahou no Machigatta Tsukaikata,Cure,137908,OP,https://v.animethemes.moe/ChiyuMahou-OP1.webm
Chiyu Mahou no Machigatta Tsukaikata,Cure,137908,OP,https://v.animethemes.moe/ChiyuMahou-OP1-NCBD1080.webm
Chiyu Mahou no Machigatta Tsukaikata,Green jade,137908,ED,https://v.animethemes.moe/ChiyuMahou-ED1.webm
Chiyu Mahou no Machigatta Tsukaikata,Green jade,137908,ED,https://v.animethemes.moe/ChiyuMahou-ED1-NCBD1080.webm
Chiyu Mahou no Machigatta Tsukaikata,Green jade,137908,ED,https://v.animethemes.moe/ChiyuMahou-ED1v2.webm
Snack Basue,"Uraomote Aquarium feat. RIRIKO, Ryohei Sataka",166093,OP,https://v.animethemes.moe/SnackBasue-OP1.webm
Snack Basue,"Uraomote Aquarium feat. RIRIKO, Ryohei Sataka",166093,OP,https://v.animethemes.moe/SnackBasue-OP1v2.webm
Snack Basue,"Uraomote Aquarium feat. RIRIKO, Ryohei Sataka",166093,OP,https://v.animethemes.moe/SnackBasue-OP1v3.webm
Snack Basue,Olivia wo Kikinagara,166093,ED1,https://v.animethemes.moe/SnackBasue-ED1.webm
Snack Basue,Nagai Yoru,166093,ED2,https://v.animethemes.moe/SnackBasue-ED2.webm
Snack Basue,Silhouette Romance,166093,ED3,https://v.animethemes.moe/SnackBasue-ED3.webm
Snack Basue,Survival,166093,ED4,https://v.animethemes.moe/SnackBasue-ED4.webm
Snack Basue,SF Love Story,166093,ED5,https://v.animethemes.moe/SnackBasue-ED5.webm
Snack Basue,"A, Mujou",166093,ED6,https://v.animethemes.moe/SnackBasue-ED6.webm
Snack Basue,Lonely Chaplin,166093,ED7,https://v.animethemes.moe/SnackBasue-ED7.webm
Snack Basue,Friends,166093,ED8,https://v.animethemes.moe/SnackBasue-ED8.webm
Snack Basue,Hoshizora no Distance,166093,ED9,https://v.animethemes.moe/SnackBasue-ED9.webm
Snack Basue,Me wo Tojite Oideyo,166093,ED10,https://v.animethemes.moe/SnackBasue-ED10.webm
Snack Basue,Yume wo Shinjite,166093,ED11,https://v.animethemes.moe/SnackBasue-ED11.webm
Snack Basue,Kassai,166093,ED12,https://v.animethemes.moe/SnackBasue-ED12.webm
Snack Basue,Koi no Vacation,166093,ED13,https://v.animethemes.moe/SnackBasue-ED13.webm
Bucchigiri?!,Sesame,165254,OP,https://v.animethemes.moe/Bucchigiri-OP1.webm
Bucchigiri?!,Love Je t'aime,165254,ED,https://v.animethemes.moe/Bucchigiri-ED1.webm
Bucchigiri?!,Love Je t'aime,165254,ED,https://v.animethemes.moe/Bucchigiri-ED1v2.webm
Ore dake Level Up na Ken,LEveL,151807,OP,https://v.animethemes.moe/SoloLeveling-OP1.webm
Ore dake Level Up na Ken,request,151807,ED,https://v.animethemes.moe/SoloLeveling-ED1.webm
Ore dake Level Up na Ken,request,151807,ED,https://v.animethemes.moe/SoloLeveling-ED1-NCBD1080.webm
Ore dake Level Up na Ken,LEveL,151807,OP,https://v.animethemes.moe/SoloLeveling-OP1-TV-NCBD1080.webm
Ao no Exorcist: Shimane Illuminati-hen,Eye's Sentry,158931,OP,https://v.animethemes.moe/AoNoExorcistS3-OP1.webm
Ao no Exorcist: Shimane Illuminati-hen,Eye's Sentry,158931,OP,https://v.animethemes.moe/AoNoExorcistS3-OP1-NCBD1080.webm
Ao no Exorcist: Shimane Illuminati-hen,Gakkyuu Nisshi,158931,ED,https://v.animethemes.moe/AoNoExorcistS3-ED1.webm
Ao no Exorcist: Shimane Illuminati-hen,Gakkyuu Nisshi,158931,ED,https://v.animethemes.moe/AoNoExorcistS3-ED1-NCBD1080.webm
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",Another Birthday,168374,OP,https://v.animethemes.moe/7thTimeLoop-OP1.webm
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",Kienai,168374,ED,https://v.animethemes.moe/7thTimeLoop-ED1.webm
Hikari no Ou 2nd Season,Hikarakka,162842,OP,https://v.animethemes.moe/HikariNoOuS2-OP1.webm
Hikari no Ou 2nd Season,Dakishimete,162842,ED,https://v.animethemes.moe/HikariNoOuS2-ED1.webm
Yami Shibai 12,Nitari,170953,ED,https://v.animethemes.moe/YamiShibaiS12-ED1.webm
Dosanko Gal wa Namara Menkoi,Namara Menkoi Gal,155963,OP,https://v.animethemes.moe/DosankoGal-OP1.webm
Dosanko Gal wa Namara Menkoi,Wayawayawaa!,155963,ED,https://v.animethemes.moe/DosankoGal-ED1.webm
Metallic Rouge,Rouge,162985,OP,https://v.animethemes.moe/MetallicRouge-OP1.webm
Metallic Rouge,Scarlet,162985,ED,https://v.animethemes.moe/MetallicRouge-ED1.webm
Sengoku Youko,HIBANA,168194,OP,https://v.animethemes.moe/SengokuYouko-OP1.webm
Sengoku Youko,Yuuyami no Uta,168194,ED,https://v.animethemes.moe/SengokuYoujo-ED1.webm
Yuuki Bakuhatsu Bang Bravern,Baban to Suisan! Bang Bravern,165598,OP,https://v.animethemes.moe/YuukiBakuhatsuBangBravern-OP1.webm
Yuuki Bakuhatsu Bang Bravern,Souen no Shouzou,165598,ED1,https://v.animethemes.moe/YuukiBakuhatsuBangBravern-ED1.webm
Yuuki Bakuhatsu Bang Bravern,Baban to Suisan! Bang Bravern,165598,ED2,https://v.animethemes.moe/YuukiBakuhatsuBangBravern-ED2.webm
